관광지번호,관광지명,전화번호,소분류,지역코드,주소
L2321,서울 흑석동 돼지갈비골목,NULL,이색거리,A01,서울 동작구 흑석1동 흑석동성당 맞은편 골목중대 먹자골목 내 위치
L2322,효사정,02-820-9844,공원,A01,서울특별시 동작구 현충로 55 흑석동
L2323,만경대,033-530-2477,유적지,J04,강원 동해시 구미동 산 53
L2324,동해화력발전처,070-5000-6112,발전소,J04,강원도 동해시 공단9로 145 구호동
L2325,늘햇살 농촌체험 만우마을,033-534-3224,농.산.어촌 체험,J04,강원도 동해시 마상천길 239 만우동
L2326,노봉해변,033-530-2234,해수욕장,J04,강원 동해시 망상동
L2327,망상해변,033-530-2234,해수욕장,J04,강원도 동해시 동해대로 6270-10 망상동
L2328,대진마을,033-539-8574,어촌,J04,강원 동해시 묵호동
L2329,묵호 등대,033-531-3258,등대,J04,강원도 동해시 해맞이길 289 묵호진동
L2330,묵호항,033-530-2271,항구/포구,J04,강원도 동해시 임항로 121 발한동
L2331,동해향교,053-535-3337,유적지,J04,강원도 동해시 승지로 84-3 부곡동
L2332,추암 촛대바위,NULL,기암괴석,J04,강원도 동해시 촛대바위길 추암동
L2333,추암해변,033-530-2232,해수욕장,J04,강원도 동해시 촛대바위길 26 추암동
L2334,동해무릉건강숲,033-530-2391,헬스투어,J04,강원도 동해시 삼화로 455 삼화동
L2335,두타산,033-5347-3067,산,J04,강원 동해시 삼화동 | 삼척시| 정선군
L2336,두타산성,033-539-3700,성,J04,강원도 동해시 삼화동
L2337,무릉계곡 용추폭포강원,033-5393-7001,폭포,J04,강원도 동해시 삼화로 538
L2338,무릉계곡무릉계곡명승지,033-5393-7001,계곡,J04,강원도 동해시 삼화로 538 삼화동
L2339,삼화사,NULL,사찰,J04,강원도 동해시 삼화로 584 삼화동
L2340,청옥산,033-530-2263,산,J04,강원 동해시 삼화동 | 삼척시| 정선군
L2341,용산서원,033-539-8427,유적지,J04,강원도 동해시 효자로 583 쇄운동
L2342,심곡약천마을,070-7769-8672,전통체험,J04,강원도 동해시 약천길 61 심곡동
L2343,어달해변,033-530-2234,해수욕장,J04,강원 동해시 일출로 217
L2344,천곡천연동굴,033-5393-6301,동굴,J04,강원도 동해시 동굴로 50 천곡동
L2345,천곡천연동굴 자연학습체험공원,033-539-3630,자연생태관광지,J04,강원도 동해시 동굴로 50 천곡동
L2346,북평해암정,033-530-2801,유적지,J04,강원도 동해시 촛대바위길 19 추암동
L2347,마포전차종점 3·1운동 만세 시위지,02-2125-0848,유적지,A01,서울특별시 마포구 마포대로 20 마포동
L2348,한강시민공원 망원지구망원한강공원,02-3780-0601,공원,A01,서울특별시 마포구 마포나루길 467 망원동
L2349,MBC 월드 방송테마파크,02-7893-7056,이색체험,A01,서울특별시 마포구 성암로 267 상암동
L2350,한강시민공원 난지지구난지한강공원,2378006112,공원,A01,서울특별시 마포구 한강난지로 162 상암동
L2351,고관홍대,02-326-4222,이색체험,A01,서울특별시 마포구 홍익로3길 20 서교동
L2352,홍대,02-323-2240,이색거리,A01,서울특별시 마포구 어울마당로 일대
L2353,월드컵공원,02-3005-5012,공원,A01,서울특별시 마포구 월드컵로 243-60 성산동
L2354,아망디네 베이킹,02-6339-1615,이색체험,A01,서울특별시 마포구 동교로 248-2 연남동
L2355,마포대교 야경,02-3153-8365,다리/대교,A01,서울 마포구 용강동 영등포구 여의도동
L2356,망원정지,02-3153-8350,유적지,A01,서울특별시 마포구 동교로8안길 23 합정동
L2357,양화진외국인선교사묘원외인묘지,02-332-9174,유적지,A01,서울특별시 마포구 양화진길 46 합정동
L2358,절두산 순교성지,02-3142-4434,종교성지,A01,서울특별시 마포구 토정로 6 합정동
L2359,정몽주 동상,02-334-7878,동상,A01,서울특별시 마포구 합정동 401-2
L2360,공덕동 족발 골목,02-334-7878,이색거리,A01,서울특별시 마포구 임정로21길 12-4 신공덕동
L2361,아현동 전골목,02-323-2240,이색거리,A01,서울 마포구 아현2동 전철 2호선 아현역 부근재래시장 안
L2362,고하도이충무공유적,061-2708-8234,유적지,N01,전라남도 목포시 고하도길 175 달동
L2363,외달도,NULL,섬,N01,전남 목포시 달동 1267~1328
L2364,오거리문화센터구 동본원사 목포별원,061-245-8833,유적지,N01,전라남도 목포시 영산로75번길 5 무안동
L2365,삼학도,061-270-8430,섬,N01,전라남도 목포시 삼학로92번길 일원
L2366,갓바위 문화의 거리,061-270-8598,이색거리,N01,전남 목포시 용해동 바닷가 일대
L2367,목포 갓바위,061-270-8598,기암괴석,N01,전라남도 목포시 남농로 149 용해동
L2368,이훈동 정원,061-244-2529,유적지,N01,전라남도 목포시 유동로 63 유달동
L2369,노적봉,061-270-8598,유적지,N01,전라남도 목포시 죽교동 죽교동
L2370,달성사목포,061-244-1489,사찰,N01,전라남도 목포시 유달로 173 죽교동
L2371,목포 오포대,061-270-8598,유적지,N01,전라남도 목포시 죽교동 유달산내 죽교동
L2372,목포시사,061-270-3542,고택,N01,전라남도 목포시 유달로 165 죽교동
L2373,유달산,061-270-8357,산,N01,전라남도 목포시 노적봉길 45 측후동
L2374,유달산 달성공원,061-270-8357,공원,N01,전남 목포시 죽교동 300
L2375,유달산 조각공원,061-270-8357,공원,N01,전남 목포시 죽교동
L2376,이난영의 목포의 눈물 노래비,061-270-8357,기념탑/전망대,N01,전남 목포시 죽교동 유달산
L2377,목포 관광특구,061-270-3513,관광단지,N01,전남 목포시 북항| 유달산| 개항장권역| 삼학도| 갓바위| 평화광장 일원
L2378,일제시대 건축물들,061-270-8598,유적지,N01,전남 목포시 대의동 | 상락동| 중앙동| 남교동| 무안동| 양동
L2379,무안망운면의곰솔,061-454-5224,희귀동.식물,N16,전라남도 무안군 망운면 두모길 35 망운면 부근
L2380,조금나루해수욕장,061-450-5114,해수욕장,N16,전남 무안군 망운면 송현리
L2381,톱머리 해수욕장,061-450-5473,해수욕장,N16,전남 무안군 망운면 피서리
L2382,톱머리마을 [해양수산부 선정 아름다운 어촌],061-450-4271,어촌,N16,전남 무안군 망운면 피서리
L2383,무안 도요지,NULL,민속마을,N16,전라남도 무안군 몽탄면 몽탄로 940-1
L2384,무안 식영정,061-450-5463,유적지,N16,전라남도 무안군 몽탄면 호반로 562-15
L2385,법천사·목우암,061-452-3903,사찰,N16,전라남도 무안군 몽탄면 법천길 529 몽탄면
L2386,총지사지석장승,061-450-5463,유적지,N16,전라남도 무안군 몽탄면 대치리 543-1
L2387,도덕사무안,061-453-0934,사찰,N16,전라남도 무안군 무안읍 몽탄로 385-35 무안읍
L2388,무안 박봉기 가옥,061-450-5463,고택,N16,전라남도 무안군 무안읍 수양길 104-13
L2389,무안 용월리 백로와 왜가리 번식지,061-450-5473,자연생태관광지,N16,전남 무안군 무안읍 용월리 563
L2390,무안향교,061-450-5463,유적지,N16,전라남도 무안군 무안읍 향교길 20
L2391,약사사무안,061-453-2422,사찰,N16,전라남도 무안군 무안읍 대사동길 15 무안읍
L2392,무안 유교리고가,061-450-5463,고택,N16,전라남도 무안군 삼향읍 유교길 53-5 삼향읍
L2393,초의선사 유적지,NULL,유적지,N16,전라남도 무안군 삼향읍 초의길 30
L2394,무안 백련흑콩마을두레미마을,NULL,농.산.어촌 체험,N16,전남 무안군 일로읍 복용리
L2395,무안 하늘백련마을백련지마을,061-450-5473,이색거리,N16,전남 무안군 일로읍 복용리
L2396,무안회산백련지,061-285-1323,자연생태관광지,N16,전남 무안군 일로읍 복용리 83번지 일원
L2397,품바발상지,061-450-5473,이색거리,N16,전남 무안군 일로읍 의산리
L2398,무안 청천리 팽나무와 개서어나무 숲,061-454-5224,희귀동.식물,N16,전라남도 무안군 청계면 청천길 71-6 청계면 외
L2399,승달산,061-450-5587,산,N16,전남 무안군 청계면 | 몽탄면 달산리
L2400,도리포,1899-8687,항구/포구,N16,전남 무안군 해제면 송석리
L2401,무안 발산마을미륵당산,061-450-5463,유적지,N16,전라남도 무안군 해제면 광산리
L2402,무안생태갯벌센터,061-450-5633,자연생태관광지,N16,전남 무안군 해제면 용산길 140
L2403,송계어촌체험마을,061-454-8737,농.산.어촌 체험,N16,전라남도 무안군 해제면 만송로 916
L2404,송석마을 [해양수산부 선정 아름다운 어촌],061-450-5613,어촌,N16,전남 무안군 해제면 송석리
L2405,원갑사,061-452-7816,사찰,N16,전라남도 무안군 해제면 산길로 266-27 해제면
L2406,해제반도,061-450-5473,항구/포구,N16,전남 무안군 해제면 | 현경면
L2407,무안 감풀마을 [농촌전통테마],061-453-2006,농.산.어촌 체험,N16,전라남도 무안군 현경면 석북길 69-1
L2408,홀통유원지·홀통해변,061-450-5473,해수욕장,N16,전남 무안군 현경면 오류리
L2409,내도리강변유원지,NULL,유원지,M09,전라북도 무주군 무주읍 내도로 126 무주읍
L2410,무주 트리스쿨,NULL,전통체험,M09,전라북도 무주군 무주읍 무주로 1788-9
L2411,무주국제화교육센터,063-323-3345,이색체험,M09,전라북도 무주군 무주읍 한풍루로 326-36 무주읍
L2412,무주한풍루,063-320-2544,유적지,M09,전라북도 무주군 무주읍 한풍루로 326-5
L2413,무주향교,063-320-2542,유적지,M09,전라북도 무주군 무주읍 단천로 135 무주읍
L2414,무주향교 전통체험,063-322-0665,전통체험,M09,전라북도 무주군 무주읍 단천로 135 무주읍
L2415,반딧불이 마을,063-324-2440,자연생태관광지,M09,전라북도 무주군 무주읍 용포리 잠두마을
L2416,북고사무주,063-322-3020,사찰,M09,전라북도 무주군 무주읍 북고사길 67 무주읍
L2417,향산사무주,063-322-2794,사찰,M09,전라북도 무주군 무주읍 향한로 27-7
L2418,국립 덕유산자연휴양림,063-322-1097,자연휴양림,M09,전라북도 무주군 무풍면 구천동로 530-62
L2419,무주 금척마을금자마을,063-324-4401,농.산.어촌 체험,M09,전라북도 무주군 무풍면 탄방로 181 무풍면
L2420,무주 무풍승지마을,063-324-5129,농.산.어촌 체험,M09,전라북도 무주군 무풍면 철목길 61 무풍면
L2421,무주 신풍령약수터,1899-8687,약수터,M09,전북 무주군 무풍면 삼거리 산 1번지
L2422,백산서원,NULL,유적지,M09,전라북도 무주군 무풍면 북리길 40 무풍면
L2423,분양서원,NULL,유적지,M09,전라북도 무주군 무풍면 지성길 119 무풍면
L2424,샤또무주,063-322-8101,이색체험,M09,전북 무주군 무풍면 오두재로 238-65
L2425,부남강변 유원지,063-324-2114,유원지,M09,전북 무주군 부남면 대소리
L2426,관음사무주,063-324-7083,사찰,M09,전라북도 무주군 설천면 양지길 92-38 설천면
L2427,구천동계곡,063-322-3174,계곡,M09,전북 무주군 설천면 두길리
L2428,덕유산국립공원본소|적상분소,NULL,국립공원,M09,전라북도 무주군 설천면 구천동1로 159 국립공원관리사무소| 장수면| 경남 거창군| 함양군
L2429,덕천서원,063-320-2542,유적지,M09,전라북도 무주군 설천면 이남3길 5 설천면
L2430,라제통문,1899-8687,기암괴석,M09,전북 무주군 설천면 소천리 383-2
L2431,무주 구천동 33경,NULL,국립공원,M09,전라북도 무주군 설천면 백련사길 580 설천면| 제32경 백련사 
L2432,무주 구천동 관광특구,063-320-2545,관광단지,M09,전북 무주군 설천면삼공리| 심곡리
L2433,무주 반디랜드,063-324-1155,관광단지,M09,전북 무주군 설천면 무설로 1324
L2434,무주 삼공리 반송,063-320-2542,희귀동.식물,M09,전라북도 무주군 설천면 삼공리 산 31
L2435,무주 지전마을 옛 담장,NULL,민속마을,M09,전북 무주군 설천면 길산리 48-1
L2436,무주 호롱불마을,063-322-8001,농.산.어촌 체험,M09,전라북도 무주군 설천면 무설로 682
L2437,무주덕유산리조트,063-322-9000,관광단지,M09,전라북도 무주군 설천면 만선로 185
L2438,무주덕유산리조트 야외노천탕&Pool,NULL,스파,M09,전라북도 무주군 설천면 만선로 185
L2439,무주리조트 관광곤도라,063-320-7381,관광단지,M09,전라북도 무주군 설천면 만선로 185
L2440,백련사무주,063-322-3395,사찰,M09,전라북도 무주군 설천면 백련사길 580
L2441,서벽정,NULL,유적지,M09,전라북도 무주군 설천면 구천동로 1868-30 설천면
L2442,태권도공원 전망대,NULL,테마공원,M09,전라북도 무주군 설천면 무설로 1482
L2443,향적봉덕유산,063-322-3174,산,M09,전라북도 무주군 설천면
L2444,도산서원,063-320-2542,유적지,M09,전라북도 무주군 안성면 사전1길 24-13 안성면
L2445,용추폭포무주,063-322-3174,폭포,M09,전북 무주군 안성면 공정리 용추마을
L2446,원통사무주,063-323-2100,사찰,M09,전라북도 무주군 안성면 원통사로 676 안성면
L2447,원통사지,NULL,유적지,M09,전라북도 무주군 안성면 원통사로 676 안성면
L2448,죽계서원,063-320-2542,유적지,M09,전라북도 무주군 안성면 평장길 79 안성면
L2449,칠연계곡,063-323-0577,계곡,M09,전라북도 무주군 안성면 칠연로 608
L2450,칠연의총,063-320-2542,유적지,M09,전라북도 무주군 안성면 칠연로 608 안성면
L2451,무주 적상산성,063-320-2542,성,M09,전라북도 무주군 적상면 산119번지 적상면
L2452,무주머루와인동굴,063-322-4720,이색체험,M09,전라북도 무주군 적상면 산성로 359 적상면
L2453,안국사무주,063-322-6162,사찰,M09,전라북도 무주군 적상면 산성로 1050 적상면
L2454,적상산,063-322-3174,산,M09,전북 무주군 적상면 북창리| 사천리| 괴목리| 포내리| 사산리 일대
L2455,적상산사고지,NULL,유적지,M09,전라북도 무주군 적상면 산성로 960 적상면
L2456,적상산성 호국사비,NULL,유적지,M09,전라북도 무주군 적상면 산성로 1050 적상면
L2457,천일폭포,063-322-3174,폭포,M09,전북 무주군 적상면 북창리
L2458,치목삼베마을,NULL,농.산.어촌 체험,M09,전라북도 무주군 적상면 치목길 104
L2459,국립 대야산자연휴양림,054-571-7181,자연휴양림,O09,경상북도 문경시 가은읍 용추길 31-35 가은읍
L2460,대야산,NULL,산,O09,경북 문경시 가은읍 완장리 | 충북 괴산군
L2461,대야산 용추계곡,NULL,계곡,O09,경상북도 문경시 가은읍 용추길 31-35 대야산자연휴양림 부근
L2462,문경 구 가은역,NULL,유적지,O09,경상북도 문경시 가은읍 대야로 2441 가은읍
L2463,선유동계곡문경,NULL,계곡,O09,경상북도 문경시 가은읍 학천정길 21 가은읍 부근
L2464,소양서원,NULL,유적지,O09,경상북도 문경시 가은읍 소양서원길 8 가은읍 부근
L2465,궁터산촌생태체험마을,054-571-8395,농.산.어촌 체험,O09,경상북도 문경시 농암면 궁터길 181 농암면
L2466,심원사문경,NULL,사찰,O09,경상북도 문경시 농암면 내서리 농암면
L2467,쌍룡계곡,NULL,계곡,O09,경상북도 문경시 농암면 청화로 223-3 농암면
L2468,문경 오미자체험마을,054-553-5244,농.산.어촌 체험,O09,경상북도 문경시 동로면 여우목로 2371-5 동로면
L2469,황장산,NULL,산,O09,경상북도 문경시 동로면 생달리 | 명전리
L2470,경북전통음식체험관 모심정,054-571-1845,전통체험,O09,경상북도 문경시 마성면 봉생1길 13
L2471,고모산성,054-550-6414,성,O09,경상북도 문경시 마성면 고모산성길 마성면
L2472,진남교반,054-550-6393,강,O09,경상북도 문경시 마성면 문경대로 1356 마성면| 진남휴게소 일대
L2473,문경 기능성온천,054-5723-3335,온천,O09,경상북도 문경시 문경읍 여우목로 31 문경읍
L2474,문경새재 자연생태공원,054-550-8383,자연생태관광지,O09,경상북도 문경시 문경읍 새재1길 45
L2475,문경새재도립공원,054-571-0709,도립공원,O09,경상북도 문경시 문경읍 새재로 932 문경읍
L2476,문경종합온천,054-571-2002,온천,O09,경상북도 문경시 문경읍 온천2길 24 문경읍
L2477,문경향교,NULL,유적지,O09,경상북도 문경시 문경읍 향교길 68 문경읍
L2478,조령산,NULL,산,O09,경북 문경시 문경읍 각서리 | 충북 괴산군 연풍면 원풍리
L2479,주흘산,054-550-6317,산,O09,경북 문경시 문경읍 상초리 | 평천리| 지곡리
L2480,혜국사,054-571-0341,사찰,O09,경상북도 문경시 문경읍 새재로 1052-220 문경읍
L2481,불정자연휴양림,NULL,자연휴양림,O09,경상북도 문경시 불정길 180 불정동
L2482,운암사문경,054-553-4795,사찰,O09,경상북도 문경시 불정동 산65 불정동
L2483,근암서원,NULL,유적지,O09,경상북도 문경시 산북면 금천로 351-5 산북면
L2484,김룡사문경,054-552-7006,사찰,O09,경상북도 문경시 산북면 김용길 372 산북면
L2485,대승사문경,054-552-7105,사찰,O09,경상북도 문경시 산북면 대승사길 283 산북면
L2486,운달산,NULL,산,O09,경상북도 문경시 산북면 김용리 | 문경읍 용연리
L2487,의산서원,NULL,유적지,O09,경상북도 문경시 산양면 의산길 20-13 산양면
L2488,충절사·상의재,NULL,유적지,O09,경상북도 문경시 산양면 의산길 20-13
L2489,전통문화마을 성보촌,054-555-0001,전통체험,O09,경상북도 문경시 호계면 상무로 377 호계면
L2490,문경 관광특구,054-550-6962,관광단지,O09,경상북도 문경시 문경읍| 가은읍| 마성면| 농암면 일대
L2491,용두연유원지,NULL,유원지,P06,경남 밀양시 가곡동
L2492,용산서원,055-356-1355,유적지,P06,경상남도 밀양시 멍에실로 117-4 가곡동
L2493,밀양향교,055-359-5646,유적지,P06,경상남도 밀양시 밀양향교3길 19 교동
L2494,무봉사,NULL,사찰,P06,경상남도 밀양시 영남루1길 16-11
L2495,밀양 영남루,NULL,유적지,P06,경상남도 밀양시 중앙로 324 내일동
L2496,아랑각,055-356-1355,유적지,P06,경상남도 밀양시 중앙로 324 내일동
L2497,밀양 평리산 대추마을,055-353-5244,농.산.어촌 체험,P06,경상남도 밀양시 단장면 고례4길 7-3
L2498,재약산,NULL,자연생태관광지,P06,경남 밀양시 단장면 구천리
L2499,천황산,055-359-5357,산,P06,경상남도 밀양시 단장면 |울산광역시 울주군 상북면
L2500,칠탄서원,055-359-5639,유적지,P06,경상남도 밀양시 단장면 활성로 313-1
L2501,표충사밀양,055-352-1150,사찰,P06,경상남도 밀양시 단장면 표충로 1338
L2502,표충서원,055-356-1355,유적지,P06,경상남도 밀양시 단장면 표충로 1338 단장면
L2503,대법사,055-356-0322,사찰,P06,경상남도 밀양시 무안면 무안서로 163-158
L2504,사명대사 생가지,055-359-5583,생가,P06,경상남도 밀양시 무안면 사명대사생가로 642
L2505,신남서원,055-356-1355,유적지,P06,경상남도 밀양시 무안면 판정로 125-13 무안면
L2506,용안서원,055-356-1355,유적지,P06,경상남도 밀양시 무안면 내진1길 39-18 무안면
L2507,표충비,055-356-1355,유적지,P06,경상남도 밀양시 무안면 동부동안길 4 무안면
L2508,홍제사밀양,055-352-0125,사찰,P06,경남 밀양시 무안면 무안리 903-2
L2509,광천서원,NULL,유적지,P06,경상남도 밀양시 부북면 사포 중앙1안길 7-9
L2510,예림서원,055-359-5639,유적지,P06,경상남도 밀양시 부북면 예림서원로 128 부북면
L2511,가지산도립공원밀양,055-359-5357,도립공원,P06,경남 밀양시 산내면 삼양리
L2512,구만계곡밀양,055-359-5357,계곡,P06,경남 밀양시 산내면 봉의2안길
L2513,밀양 얼음골,NULL,계곡,P06,경상남도 밀양시 산내면 산내로 1647
L2514,석골사,055-352-6557,사찰,P06,경상남도 밀양시 산내면 원서3길 167
L2515,시례 호박소,055-359-5361,계곡,P06,경남 밀양시 산내면 얼음골로 334-1
L2516,기회송림,NULL,유원지,P06,경남 밀양시 산외면 남기동길
L2517,혜산서원,055-359-5639,유적지,P06,경상남도 밀양시 산외면 다원1리길 17-18 다죽리
L2518,만어사,NULL,사찰,P06,경상남도 밀양시 삼랑진읍 만어로 776 삼랑진읍
L2519,부은암밀양,055-353-8032,사찰,P06,경상남도 밀양시 삼랑진읍 천태로 451-94 삼랑진읍
L2520,삼강서원,055-359-5646,유적지,P06,경상남도 밀양시 삼랑진읍 삼랑1길 32-9
L2521,삼랑진양수발전소,NULL,발전소,P06,경상남도 밀양시 삼랑진읍 행곡로 26-27
L2522,상동 빈지소,NULL,유원지,P06,경남 밀양시 상동면 금산리 | 안인리
L2523,남계서원,055-356-1355,유적지,P06,경상남도 밀양시 청도면 두곡3길 43-16 청도면
L2524,덕남서원,055-359-5646,유적지,P06,경상남도 밀양시 초동면 초동로 398-13
L2525,밀양 꽃새미마을,055-391-1518,농.산.어촌 체험,P06,경상남도 밀양시 초동면 방동안길 22
L2526,방동 참샘마을,055-391-3825,농.산.어촌 체험,P06,경상남도 밀양시 초동면 방동길 129 초동면
L2527,오봉서원,055-356-1355,유적지,P06,경상남도 밀양시 초동면 오방길 9-12 초동면
L2528,남포관아문,041-930-4072,문,L03,충청남도 보령시 남포면 읍성향교길 19 남포면 부근
L2529,남포방조제,NULL,자연생태관광지,L03,충남 보령시 남포면
L2530,남포읍성,NULL,성,L03,충청남도 보령시 남포면 읍내리 남포면
L2531,남포향교,041-930-4072,유적지,L03,충청남도 보령시 남포면 읍성향교길 133 남포면
L2532,남포향교 대성전,041-930-4072,유적지,L03,충청남도 보령시 남포면 읍성향교길 133 남포면
L2533,용두해수욕장,NULL,해수욕장,L03,충남 보령시 남포면 열린바다로 82-45
L2534,윤창암보령,041-934-2142,사찰,L03,충청남도 보령시 남포면 창동1길 233-25 남포면
L2535,죽도보령,NULL,섬,L03,충청남도 보령시 남포면 남포방조제로 408-36 남포면
L2536,왕대사보령,041-936-4796,사찰,L03,충청남도 보령시 내항동 산97 내항동
L2537,대천한내돌다리,041-930-4072,유적지,L03,충청남도 보령시 가막재1길 동대동
L2538,금강암보령,041-931-7767,사찰,L03,충청남도 보령시 미산면 용수리 산59 미산면
L2539,보령호,NULL,호수,L03,충남 보령시 미산면
L2540,개화예술공원,NULL,공원,L03,충청남도 보령시 성주면 성주산로 673-47
L2541,백운사보령,041-933-5569,사찰,L03,충청남도 보령시 성주면 심원계곡로 259-200
L2542,보령 성주사지,041-930-4072,종교성지,L03,충청남도 보령시 성주면 심원계곡로 99
L2543,성주계곡,NULL,계곡,L03,충남 보령시 성주면 성주리
L2544,성주산자연휴양림,NULL,자연휴양림,L03,충청남도 보령시 성주면 화장골길 57-228 성주면
L2545,심연동계곡,NULL,계곡,L03,충남 보령시 성주면 성주리
L2546,화장골계곡,NULL,계곡,L03,충남 보령시 성주면 성주리
L2547,JFK 대천 워터파크,041-930-2000,워터파크,L03,충청남도 보령시 대해로 876 신흑동
L2548,대천 필랜드,041-932-9860,테마공원,L03,충청남도 보령시 대해로 860 신흑동
L2549,대천항,NULL,항구/포구,L03,충청남도 보령시 대천항2길 39-4 신흑동
L2550,대천해수욕장,NULL,해수욕장,L03,충남 보령시 신흑동
L2551,보령 시민탑광장,041-930-3541,공원,L03,충남 보령시 신흑동
L2552,보령머드체험관,041-931-4021,이색체험,L03,충청남도 보령시 대해로 897-15 신흑동
L2553,신흑마을 [해양수산부 선정 아름다운 어촌],041-932-2023,어촌,L03,충청남도 보령시 신흑동 일대
L2554,고대도,NULL,섬,L03,충남 보령시 오천면 고대도리
L2555,녹도,NULL,섬,L03,충남 보령시 오천면 녹도
L2556,보령 충청수영성,NULL,성,L03,충남 보령시 오천면 소성리 931번지 일대
L2557,보령방조제,041-930-3541,자연생태관광지,L03,충남 보령시 오천면 소성리
L2558,삽시도,041-930-3934,섬,L03,충청남도 보령시 오천면 삽시도 오천면
L2559,선림사보령,041-932-4180,사찰,L03,충청남도 보령시 오천면 충청수영로 521-64 오천면
L2560,순교성지 갈매못,041-932-1311,종교성지,L03,충청남도 보령시 오천면 오천해안로 610
L2561,오천항,NULL,항구/포구,L03,충청남도 보령시 오천면 소성안길 36 오천면
L2562,오천향교,041-930-4072,유적지,L03,충청남도 보령시 오천면 향교길 45-26 오천면
L2563,외연도,NULL,섬,L03,충남 보령시 오천면 외연도리
L2564,원산도,NULL,섬,L03,충남 보령시 오천면 원산도리
L2565,장고도,NULL,섬,L03,충남 보령시 오천면 장고도리
L2566,해변기암절벽,041-932-2023,기암괴석,L03,충청남도 보령시 오천면
L2567,호도,NULL,섬,L03,충남 보령시 오천면 호도
L2568,호도해수욕장,041-930-4088,해수욕장,L03,충남 보령시 오천면 호도
L2569,효자도,NULL,섬,L03,충남 보령시 오천면 효자도리
L2570,독대섬,NULL,섬,L03,충남 보령시 웅천읍 독산리
L2571,독산해수욕장홀뫼해수욕장,041-932-2033,해수욕장,L03,충남 보령시 웅천읍
L2572,무창포 비체팰리스 스파,NULL,스파,L03,충청남도 보령시 웅천읍 열린바다1길 78
L2573,무창포어촌체험마을,041-936-3510,농.산.어촌 체험,L03,충청남도 보령시 웅천읍 열린바다2길 46 웅천읍
L2574,무창포해수욕장,041-936-3561,해수욕장,L03,충청남도 보령시 웅천읍 열린바다1길 10 웅천읍
L2575,석대도,NULL,섬,L03,충남 보령시 웅천읍 관당리
L2576,장안해수욕장,NULL,해수욕장,L03,충청남도 보령시 웅천읍 장안1길 35
L2577,상양관광농원,041-931-1817,관광농원,L03,충청남도 보령시 주교면 문화마을길 178-58 주교면
L2578,이지함선생묘,041-930-4072,유적지,L03,충청남도 보령시 주교면 토정로 1048 주교면
L2579,보령성곽&보령관아문,041-930-4071,성,L03,충청남도 보령시 주포면 보령읍성길 87-37 외
L2580,보령향교,041-930-4072,유적지,L03,충청남도 보령시 주포면 향교말길 45 주포면
L2581,보령 방자구이마을,NULL,농.산.어촌 체험,L03,충청남도 보령시 천북면 홍보로 793-12 천북면
L2582,보령 천북굴단지,041-641-8816,이색거리,L03,충남 보령시 천북면 장은리 1066번지
L2583,국립 오서산자연휴양림,041-936-5465,자연휴양림,L03,충청남도 보령시 청라면 오서산길 531
L2584,명대골계곡,NULL,계곡,L03,충남 보령시 청라면 장현리 명대부락
L2585,보령 냉풍욕장,041-934-5959,동굴,L03,충청남도 보령시 청라면 냉풍욕장길 190 청라면
L2586,보령 은행마을,070-7845-5060,농.산.어촌 체험,L03,충남 보령시 청라면 오서산길 150-65
L2587,신경섭 전통가옥,041-930-3520,고택,L03,충청남도 보령시 청라면 장밭길 62 장현리
L2588,평강뜰애,041-934-7577,농.산.어촌 체험,L03,충남 보령시 청라면 가느실길 106
L2589,화암서원,041-930-4072,유적지,L03,충청남도 보령시 청라면 죽성로 411 청라면
L2590,김좌진장군묘,041-930-4072,유적지,L03,충청남도 보령시 청소면 김좌진로 200 청소면
L2591,보령 청소역,041-932-2023,유적지,L03,충청남도 보령시 청소면 청소큰길 176 청소면
L2592,오서산,NULL,산,L03,충남 보령시 청소면 성연리 | 홍성군 광천읍| 보령시| 청양군 일원
L2593,보령 해수욕장 관광특구,041-930-3545,관광단지,L03,충청남도 보령시 신흑동| 응천읍 독산·관당리| 남포면 월전리 일원
L2594,보성 강골마을,061-853-2885,민속마을,N10,전라남도 보성군 득량면 역전길 15-9 득량면
L2595,보성 비봉리 공룡알화석 산지,061-850-5213,자연생태관광지,N10,전남 보성군 득량면 비봉리 545-1 외
L2596,선소어촌체험마을,NULL,농.산.어촌 체험,N10,전라남도 보성군 득량면 공룡로 806-32 득량면
L2597,오봉산,061-850-5446,산,N10,전남 보성군 득량면 해평리
L2598,충절사보성,061-850-5203,유적지,N10,전라남도 보성군 득량면 삼정리 득량면
L2599,해평리석장승,061-850-5203,유적지,N10,전라남도 보성군 득량면 해평리 33 득량면
L2600,대원사보성,NULL,사찰,N10,전라남도 보성군 문덕면 죽산길 506-8 문덕면
L2601,송재 서재필선생 생가와 기념공원,061-850-5213,생가,N10,전라남도 보성군 문덕면 용암길 8 문덕면
L2602,삼우당충선공강성군부민후 문익점 부조묘,061-850-5203,유적지,N10,전라남도 보성군 미력면 도개2길 21 미력면
L2603,용산서원,061-850-5203,유적지,N10,전라남도 보성군 미력면 덕림리 미력면
L2604,구 보성여관,061-858-7528,유적지,N10,전라남도 보성군 벌교읍 태백산맥길 19
L2605,보성 벌교 홍교,061-850-5203,유적지,N10,전라남도 보성군 벌교읍 벌교리 154-1 벌교읍
L2606,송광사 포교당보성,061-857-2328,사찰,N10,전라남도 보성군 벌교읍 태백산맥길 93-10 벌교읍
